,Название фильма,Ссылка,Рейтинг,Количество человек,Директор,В главных ролях,Год,Страна,Тип
165,疯狂原始人 / The Croods / 古鲁家族(港 / 台) ,https://movie.douban.com/subject/1907966/,8.7,795967,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,主演...,2013,美国,喜剧 动画 冒险
166,上帝之城 / Cidade de Deus / 无主之城 (港)  /  无法无天 (台),https://movie.douban.com/subject/1292208/,9.0,286395,导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,,2002,巴西 法国,犯罪 剧情
167,谍影重重3 / The Bourne Ultimatum / 叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),https://movie.douban.com/subject/1578507/,8.8,395931,导演: 保罗·格林格拉斯 Paul Greengrass,主演: 马特·达蒙 Matt Damon / ...,2007,美国 德国,动作 悬疑 惊悚
168,心迷宫 / 殡棺  /  The Coffin in the Mountain,https://movie.douban.com/subject/25917973/,8.7,485054,导演: 忻钰坤 Yukun Xin,主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014,中国大陆,剧情 犯罪 悬疑
169,英雄本色 / A Better Tomorrow  /  Gangland Boss,https://movie.douban.com/subject/1297574/,8.6,502255,导演: 吴宇森 John Woo,主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,中国香港,剧情 动作 犯罪
170,风之谷 / 風の谷のナウシカ / 风谷少女  /  Kaze no tani no Naushika,https://movie.douban.com/subject/1291585/,8.9,338173,导演: 宫崎骏 Hayao Miyazaki,主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984,日本,动画 奇幻 冒险
171,色，戒 / 色|戒  /  色·戒,https://movie.douban.com/subject/1828115/,8.6,723621,导演: 李安 Ang Lee,主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色
172,纵横四海 / 緃横四海 / Once a Thief,https://movie.douban.com/subject/1295409/,8.8,395884,导演: 吴宇森 John Woo,主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991,中国香港,剧情 喜剧 动作 犯罪
173,海街日记 / 海街diary / 海街女孩日记(港)  /  Kamakura Diary,https://movie.douban.com/subject/25895901/,8.8,418068,导演: 是枝裕和 Hirokazu Koreeda,主演: 绫濑遥 Haruka Ayase / 长泽雅美 M...,2015,日本,剧情 家庭
174,茶馆 / The Teahouse,https://movie.douban.com/subject/1461403/,9.5,118188,导演: 谢添 Tian Xie,主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,1982(中国大陆),中国大陆,剧情 历史
175,岁月神偷 / 歲月神偷 / 1969太空漫游  /  Echoes Of The Rainbow,https://movie.douban.com/subject/3792799/,8.7,553058,导演: 罗启锐 Alex Law,主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010,中国香港 中国大陆,剧情 家庭
176,记忆碎片 / Memento / 凶心人(港)  /  记忆拼图(台),https://movie.douban.com/subject/1304447/,8.7,570799,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 盖·皮尔斯 Guy Pearce /...,2000,美国,犯罪 剧情 悬疑 惊悚
177,爱在午夜降临前 / Before Midnight / 情约半生(港)  /  爱在午夜希腊时(台),https://movie.douban.com/subject/10808442/,8.9,367721,导演: 理查德·林克莱特 Richard Linklater,主演: 伊桑·霍克 Ethan Hawke ...,2013,美国 希腊,剧情 爱情
178,绿里奇迹 / The Green Mile / 绿色奇迹(台)  /  绿色英里,https://movie.douban.com/subject/1300374/,8.9,303922,导演: 弗兰克·德拉邦特 Frank Darabont,主演: 汤姆·汉克斯 Tom Hanks / ...,1999,美国,犯罪 剧情 奇幻 悬疑
179,忠犬八公物语 / ハチ公物語 / 八千公物语  /  阿八的故事,https://movie.douban.com/subject/1959195/,9.2,182028,导演: Seijirô Kôyama,主演: 山本圭 Kei Yamamoto / 井川比佐志 Hisa...,1987,日本,剧情
180,荒蛮故事 / Relatos salvajes / 蛮荒故事  /  生命中最抓狂的小事(台),https://movie.douban.com/subject/24750126/,8.8,416395,导演: 达米安·斯兹弗隆 Damián Szifron,主演: 达里奥·葛兰帝内提 Darío...,2014,阿根廷 西班牙,剧情 喜剧 犯罪
181,爆裂鼓手 / Whiplash / 鼓动真我(港)  /  进击的鼓手(台),https://movie.douban.com/subject/25773932/,8.7,548600,导演: 达米恩·查泽雷 Damien Chazelle,主演: 迈尔斯·特勒 Miles Teller /...,2014,美国,剧情 音乐
182,小偷家族 / 万引き家族 / Shoplifters  /  Une Affaire de Famille,https://movie.douban.com/subject/27622447/,8.7,774257,导演: 是枝裕和 Hirokazu Koreeda,主演: 中川雅也 Lily Franky / 安藤樱 Sa...,2018,日本,剧情 犯罪 家庭
183,疯狂的石头 / Crazy Stone,https://movie.douban.com/subject/1862151/,8.6,769569,导演: 宁浩 Hao Ning,主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,中国大陆 中国香港,喜剧 犯罪
184,贫民窟的百万富翁 / Slumdog Millionaire / 一百万零一夜(港)  /  贫民百万富翁(台),https://movie.douban.com/subject/2209573/,8.6,711106,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,主演: 戴夫...,2008,英国,剧情 爱情
185,无敌破坏王 / Wreck-It Ralph / 破坏王拉尔夫  /  破坏王大冒险,https://movie.douban.com/subject/6534248/,8.7,504438,导演: 瑞奇·莫尔 Rich Moore,主演: 约翰·C·赖利 John C. Reilly / 萨拉...,2012,美国,喜剧 动画 奇幻 冒险
186,东邪西毒 / 東邪西毒 / Ashes of Time,https://movie.douban.com/subject/1292328/,8.6,546315,导演: 王家卫 Kar Wai Wong,主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装
187,雨中曲 / Singin' in the Rain / 万花嬉春(港 / 台) ,https://movie.douban.com/subject/1293460/,9.1,205840,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,主演: 吉恩·...,1952,美国,喜剧 歌舞 爱情
188,真爱至上 / Love Actually / 真的恋爱了(港)  /  爱是您，爱是我(台),https://movie.douban.com/subject/1292401/,8.6,687351,导演: 理查德·柯蒂斯 Richard Curtis,主演: 休·格兰特 Hugh Grant / 柯林...,2003,英国 美国 法国,喜剧 剧情 爱情
189,冰川时代 / Ice Age / 冰河世纪  /  冰原历险记,https://movie.douban.com/subject/1291578/,8.6,579416,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,主演...,2002,美国,喜剧 动画 冒险
190,恐怖游轮 / Triangle / 汪洋血迷宮(台)  /  轮回三角,https://movie.douban.com/subject/3011051/,8.5,797175,导演: 克里斯托弗·史密斯 Christopher Smith,主演: 梅利莎·乔治 Melissa ...,2009,英国 澳大利亚,剧情 悬疑 惊悚
191,2001太空漫游 / 2001: A Space Odyssey / 2001：星际漫游  /  2001：太空奥德赛,https://movie.douban.com/subject/1292226/,8.9,295988,导演: 斯坦利·库布里克 Stanley Kubrick,主演: 凯尔·杜拉 Keir Dullea / ...,1968,英国 美国,科幻 惊悚 冒险
192,你看起来好像很好吃 / おまえうまそうだな / 你看起来很好吃(台)  /  你看上去好像很好吃,https://movie.douban.com/subject/4848115/,8.9,315109,导演: 藤森雅也 Masaya Fujimori,主演: 山口胜平 Kappei Yamaguchi / 爱河...,2010,日本,剧情 动画 儿童
193,黑天鹅 / Black Swan / 夺命黑天鹅  /  霸王别鹅(豆友译名),https://movie.douban.com/subject/1978709/,8.6,749817,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky,主演: 娜塔莉·波特曼 Natalie...,2010,美国,剧情 惊悚
194,无间道2 / 無間道II / 无间道前传  /  Infernal Affairs II,https://movie.douban.com/subject/1307106/,8.7,437299,导演: 刘伟强 / 麦兆辉,主演: 陈冠希 / 余文乐 / 曾志伟,2003,中国香港,剧情 犯罪 惊悚
195,魔女宅急便 / 魔女の宅急便 / 魔女琪琪(台)  /  小魔女限时专送,https://movie.douban.com/subject/1307811/,8.7,430678,导演: 宫崎骏 Hayao Miyazaki,主演: 高山南 Minami Takayama / 佐久间玲 Re...,1989,日本,动画 奇幻 冒险
196,牯岭街少年杀人事件 / 牯嶺街少年殺人事件 / A Brighter Summer Day,https://movie.douban.com/subject/1292329/,8.9,272441,导演: 杨德昌 Edward Yang,主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991,中国台湾,剧情 犯罪
197,遗愿清单 / The Bucket List / 玩转身前事(港)  /  一路玩到挂(台),https://movie.douban.com/subject/1867345/,8.7,419084,导演: 罗伯·莱纳 Rob Reiner,主演: 杰克·尼科尔森 Jack Nicholson / 摩根...,2007,美国,冒险 喜剧 剧情
198,"背靠背，脸对脸 / 背对背，脸对脸  /  Back to Back, Face to Face",https://movie.douban.com/subject/1307856/,9.5,113606,导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,主演: 牛振华 Zhenhua N...,1994,中国大陆 中国香港,剧情
199,小丑 / Joker / 小丑起源电影：罗密欧  /  Romeo,https://movie.douban.com/subject/27119724/,8.7,947193,导演: 托德·菲利普斯 Todd Phillips,主演: 杰昆·菲尼克斯 Joaquin Phoeni...,2019,美国 加拿大,剧情 犯罪 惊悚
200,雨人 / Rain Man / 手足情未了(港)  /  手足情深,https://movie.douban.com/subject/1291870/,8.7,383309,导演: 巴瑞·莱文森 Barry Levinson,主演: 达斯汀·霍夫曼 Dustin Hoffman ...,1988,美国,剧情
201,大佛普拉斯 / The Great Buddha+,https://movie.douban.com/subject/27059130/,8.7,418689,导演: 黄信尧 Hsin-yao Huang,主演: 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,2017,中国台湾,剧情 喜剧
202,可可西里 / Kekexili: Mountain Patrol,https://movie.douban.com/subject/1308857/,8.9,284703,导演: 陆川 Chuan Lu,主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,2004,中国大陆 中国香港,剧情 犯罪
203,恋恋笔记本 / The Notebook / 忘了·忘不了(港)  /  手札情缘(台),https://movie.douban.com/subject/1309163/,8.6,631457,导演: 尼克·卡索维茨 Nick Cassavetes,主演: 瑞恩·高斯林 Ryan Gosling /...,2004,美国,剧情 爱情
204,城市之光 / City Lights / City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt,https://movie.douban.com/subject/1293908/,9.3,134848,导演: Charles Chaplin,主演: 查理·卓别林 Charles Chaplin / 弗吉尼亚·...,1931,美国,喜剧 剧情 爱情
205,东京教父 / 東京ゴッドファーザーズ / Tokyo Godfathers,https://movie.douban.com/subject/1310177/,9.0,201967,导演: 今敏 Satoshi Kon,主演: 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,2003,日本,剧情 喜剧 动画
206,源代码 / Source Code / 启动原始码(台)  /  危机解密(港),https://movie.douban.com/subject/3075287/,8.5,791619,导演: 邓肯·琼斯 Duncan Jones,主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...,2011,美国 加拿大,科幻 悬疑 惊悚
207,萤火虫之墓 / 火垂るの墓 / 再见萤火虫(港)  /  萤火挽歌,https://movie.douban.com/subject/1293318/,8.7,388456,导演: 高畑勋 Isao Takahata,主演: 辰己努 / 白石绫乃 / 志乃原良子,1988,日本,动画 剧情 战争
208,虎口脱险 / La grande vadrouille / 横冲直撞出重围(港)  /  大進擊(台),https://movie.douban.com/subject/1296909/,8.9,238781,导演: 杰拉尔·乌里 Gérard Oury,主演: 路易·德·菲耐斯 Louis de Funès...,1966,法国 英国,喜剧 战争
209,初恋这件小事 / สิ่งเล็กเล็กที่เรียกว่า...รัก / 初恋那件小事(港)  /  暗恋那点小事,https://movie.douban.com/subject/4739952/,8.5,940260,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,,2010,泰国,剧情 喜剧 爱情
210,人工智能 / Artificial Intelligence: AI / AI人工智慧,https://movie.douban.com/subject/1302827/,8.7,418596,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 海利·乔·奥斯蒙 Haley...,2001,美国 英国,剧情 科幻
211,海边的曼彻斯特 / Manchester by the Sea / 情系海边之城(港),https://movie.douban.com/subject/25980443/,8.6,482464,导演: 肯尼斯·罗纳根 Kenneth Lonergan,主演: 卡西·阿弗莱克 Casey Affle...,2016,美国,剧情 家庭
212,心灵奇旅 / Soul / 灵魂奇遇记(港)  /  灵魂急转弯(台),https://movie.douban.com/subject/24733428/,8.7,902586,导演: 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,主演: 杰米·...,2020,美国,动画 奇幻 音乐
213,罗生门 / 羅生門 / Rashomon,https://movie.douban.com/subject/1291879/,8.8,294796,导演: 黑泽明 Akira Kurosawa,主演: 三船敏郎 Toshirô Mifune / 京町子 ...,1950,日本,剧情 犯罪 悬疑
214,青蛇 / Green Snake,https://movie.douban.com/subject/1303394/,8.6,492897,导演: 徐克 Hark Tsui,主演: 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装
215,波西米亚狂想曲 / Bohemian Rhapsody / 波希米亚狂想曲：摇滚传说(港)  /  波希米亚狂想曲(台),https://movie.douban.com/subject/5300054/,8.6,564532,导演: 布莱恩·辛格 Bryan Singer,主演: 拉米·马雷克 Rami Malek / 本·哈...,2018,英国 美国,剧情 传记 同性 音乐
216,终结者2：审判日 / Terminator 2: Judgment Day / 未来战士2(港)  /  魔鬼终结者2(台),https://movie.douban.com/subject/1291844/,8.8,321772,导演: 詹姆斯·卡梅隆 James Cameron,主演: 阿诺·施瓦辛格 Arnold Schwarz...,1991,美国 法国,动作 科幻
217,疯狂的麦克斯4：狂暴之路 / Mad Max: Fury Road / 末日先锋：战甲飞车(港)  /  疯狂麦斯：愤怒道(台),https://movie.douban.com/subject/3592854/,8.7,495598,导演: 乔治·米勒 George Miller,主演: 汤姆·哈迪 Tom Hardy / 查理兹·塞...,2015,澳大利亚 美国,动作 科幻 冒险
218,新龙门客栈 / 新龍門客棧 / New Dragon Gate Inn,https://movie.douban.com/subject/1292287/,8.7,416765,导演: 李惠民 Raymond Lee,主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,1992,中国香港 中国大陆,动作 爱情 武侠 古装
219,奇迹男孩 / Wonder / 奇迹,https://movie.douban.com/subject/26787574/,8.6,527172,导演: 斯蒂芬·卓博斯基 Stephen Chbosky,主演: 雅各布·特伦布莱 Jacob Tr...,2017,美国 中国香港,剧情 儿童 家庭
220,二十二 / Twenty Two  /  22,https://movie.douban.com/subject/26430107/,8.7,279939,导演: 郭柯 Ke Guo,主演: ,2015,中国大陆,纪录片
221,无耻混蛋 / Inglourious Basterds / 希魔撞正杀人狂(港)  /  恶棍特工(台),https://movie.douban.com/subject/1438652/,8.6,446078,导演: Quentin Tarantino,主演: 布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M...,2009,德国 美国,剧情 犯罪
222,房间 / Room / 不存在的房间(台)  /  抖室(港),https://movie.douban.com/subject/25724855/,8.8,354246,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson,主演: 布丽·拉尔森 Brie Larson...,2015,爱尔兰 加拿大 英国 美国,剧情 家庭
223,千钧一发 / Gattaca / 变种异煞(港)  /  自然人,https://movie.douban.com/subject/1300117/,8.8,272272,导演: 安德鲁·尼科尔 Andrew Niccol,主演: 伊桑·霍克 Ethan Hawke / 乌玛...,1997,美国,剧情 科幻 惊悚
224,血钻 / Blood Diamond / 血钻石(台)  /  血腥钻石,https://movie.douban.com/subject/1428175/,8.7,357353,导演: 爱德华·兹威克 Edward Zwick,主演: 莱昂纳多·迪卡普里奥 Leonardo ...,2006,美国 德国 英国,剧情 惊悚 冒险
225,崖上的波妞 / 崖の上のポニョ / 悬崖上的金鱼姬  /  悬崖上的金鱼公主,https://movie.douban.com/subject/1959877/,8.6,455533,导演: 宫崎骏 Hayao Miyazaki,主演: 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,2008,日本,动画 奇幻 冒险
226,彗星来的那一夜 / Coherence / 相干性  /  相干效应,https://movie.douban.com/subject/25807345/,8.5,531382,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit,主演: 艾米丽·芭尔多尼 Em...,2013,美国 英国,科幻 悬疑 惊悚
227,黑客帝国2：重装上阵 / The Matrix Reloaded / 22世纪杀人网络2：决战未来(港)  /  骇客任务：重装上阵(台),https://movie.douban.com/subject/1304141/,8.7,383332,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,...,2003,美国,动作 科幻
228,步履不停 / 歩いても 歩いても / 横山家之味(港 / 台) ,https://movie.douban.com/subject/2222996/,8.8,261732,导演: 是枝裕和 Hirokazu Koreeda,主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008,日本,剧情 家庭
229,魂断蓝桥 / Waterloo Bridge / 滑铁卢桥  /  断桥残梦,https://movie.douban.com/subject/1293964/,8.8,261596,导演: 茂文·勒鲁瓦 Mervyn LeRoy,主演: 费雯·丽 Vivien Leigh / 罗伯特·...,1940,美国,剧情 爱情 战争
230,战争之王 / Lord of War / 军火之王(台 / 港) ,https://movie.douban.com/subject/1419936/,8.7,344257,导演: 安德鲁·尼科尔 Andrew Niccol,主演: 尼古拉斯·凯奇 Nicolas Cage /...,2005,法国 德国 美国,剧情 犯罪
231,爱乐之城 / La La Land / 星声梦里人(港)  /  乐来越爱你(台),https://movie.douban.com/subject/25934014/,8.4,827340,导演: 达米恩·查泽雷 Damien Chazelle,主演: 瑞恩·高斯林 Ryan Gosling /...,2016,美国,剧情 爱情 歌舞
232,末路狂花 / Thelma & Louise / 塞尔玛与路易丝  /  末路狂花,https://movie.douban.com/subject/1291992/,8.9,225556,导演: 雷德利·斯科特 Ridley Scott,主演: 吉娜·戴维斯 Geena Davis / 苏...,1991,美国 英国 法国,犯罪 剧情 惊悚
233,谍影重重2 / The Bourne Supremacy / 叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),https://movie.douban.com/subject/1308767/,8.7,332224,导演: 保罗·格林格拉斯 Paul Greengrass,主演: 马特·达蒙 Matt Damon / ...,2004,美国 德国,动作 悬疑 惊悚
234,火星救援 / The Martian / 火星任务(港)  /  绝地救援(台),https://movie.douban.com/subject/25864085/,8.5,676651,导演: 雷德利·斯科特 Ridley Scott,主演: 马特·达蒙 Matt Damon / 杰西卡...,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险
235,燃情岁月 / Legends of the Fall / 秋日传奇  /  真爱一世情(台),https://movie.douban.com/subject/1295865/,8.8,272057,导演: 爱德华·兹威克 Edward Zwick,主演: 布拉德·皮特 Brad Pitt / 安东...,1994,美国,剧情 爱情 战争 西部
236,千年女优 / 千年女優 / Millennium Actress,https://movie.douban.com/subject/1307394/,8.8,242418,导演: 今敏 Satoshi Kon,主演: 庄司美代子 Miyoko Shôji / 小山茉美 Mam...,2001,日本,动画 剧情 爱情
237,阿飞正传 / 阿飛正傳 / Days of Being Wild,https://movie.douban.com/subject/1305690/,8.5,477831,导演: 王家卫 Kar Wai Wong,主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...,1990,中国香港,犯罪 剧情 爱情
238,再次出发之纽约遇见你 / Begin Again / 再次出发  /  歌曲改变人生,https://movie.douban.com/subject/6874403/,8.6,404917,导演: 约翰·卡尼 John Carney,主演: 凯拉·奈特莉 Keira Knightley / 马克...,2013,美国,喜剧 爱情 音乐
239,谍影重重 / The Bourne Identity / 叛谍追击(港)  /  神鬼认证(台),https://movie.douban.com/subject/1304102/,8.6,400069,导演: 道格·里曼 Doug Liman,主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦...,2002,美国 德国 捷克,动作 悬疑 惊悚
240,花束般的恋爱 / 花束みたいな恋をした / 她和他的恋爱花期(港)  /  Hanataba mitaina koi o shita,https://movie.douban.com/subject/34874432/,8.6,512498,导演: 土井裕泰 Nobuhiro Doi,主演: 菅田将晖 Masaki Suda / 有村架纯 Kasu...,2021,日本,剧情 爱情
241,朗读者 / The Reader / 为爱朗读(台)  /  读爱(港),https://movie.douban.com/subject/2213597/,8.6,435879,导演: 史蒂芬·戴德利 Stephen Daldry,主演: 凯特·温丝莱特 Kate Winslet ...,2008,美国 德国,剧情 爱情
242,海洋 / Océans / Oceans  /  海洋,https://movie.douban.com/subject/3443389/,9.1,151970,导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,主演:...,2009,法国 瑞士 西班牙 美国 阿联酋 摩纳哥,纪录片
243,香水 / Perfume: The Story of a Murderer / 香水：一个杀人犯的故事  /  香水：一个谋杀犯的故事,https://movie.douban.com/subject/1760622/,8.5,519739,导演: 汤姆·提克威 Tom Tykwer,主演: 本·卫肖 Ben Whishaw / 艾伦·瑞克...,2006,德国 法国 西班牙 美国 比利时,剧情 犯罪 奇幻
244,穿越时空的少女 / 時をかける少女 / 跳跃吧！时空少女(台)  /  Toki o kakeru shôjo,https://movie.douban.com/subject/1937946/,8.6,363169,导演: 细田守 Mamoru Hosoda,主演: 仲里依纱 Riisa Naka / 石田卓也 Takuya...,2006,日本,剧情 爱情 科幻 动画
245,地球上的星星 / Taare Zameen Par / 心中的小星星(台)  /  每一个孩子都是特别的,https://movie.douban.com/subject/2363506/,8.9,194099,导演: 阿米尔·汗 Aamir Khan,主演: 达席尔·萨法瑞 Darsheel Safary / 阿...,2007,印度,剧情 儿童 家庭
246,我爱你 / 그대를 사랑합니다 / 爱你  /  爱，是一生相伴(台),https://movie.douban.com/subject/5908478/,9.0,156759,导演: 秋昌民 Chang-min Choo,主演: 宋在河 Jae-ho Song / 李顺载 Soon-jae...,2011,韩国,剧情 爱情
247,弱点 / The Blind Side / 守护有心人(港)  /  攻其不备(台),https://movie.douban.com/subject/3552028/,8.7,277758,导演: 约翰·李·汉考克 John Lee Hancock,主演: 桑德拉·布洛克 Sandra Bu...,2009,美国,剧情 家庭 传记 运动
248,哈利·波特与死亡圣器(上) / Harry Potter and the Deathly Hallows: Part 1 / 哈利波特7：死神的圣物1(港 / 台) ,https://movie.douban.com/subject/2051007/,8.5,520680,导演: 大卫·叶茨 David Yates,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2010,英国 美国,奇幻 冒险
249,完美陌生人 / Perfetti sconosciuti / 完美谎情(港)  /  波动的信息分享,https://movie.douban.com/subject/26614893/,8.5,500092,导演: 保罗·格诺维瑟 Paolo Genovese,主演: 马可·贾利尼 Marco Giallini ...,2016,意大利,剧情 喜剧
